SID,ISO_TIME,LAT,LON,WMO_WIND,wind_was_missing,wind_imputation,WMO_PRES,pres_was_missing,pres_imputation,Status Wind,Status Pres
1980056S15059,1980-03-02 18:00:00,-17.9,57.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-02 21:00:00,-17.9,57.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-03 00:00:00,-17.8,57.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-03 03:00:00,-17.7,57.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-03 06:00:00,-17.6,57.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-03 09:00:00,-17.5,57.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-03 12:00:00,-17.5,58.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-03 15:00:00,-17.7,58.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-03 18:00:00,-18.0,58.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-03 21:00:00,-18.4,58.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-04 00:00:00,-18.8,58.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-04 03:00:00,-18.9,58.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-04 06:00:00,-19.0,58.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-04 09:00:00,-19.1,58.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-04 12:00:00,-19.2,58.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-04 15:00:00,-19.7,58.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-04 18:00:00,-20.2,58.6,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-04 21:00:00,-20.7,58.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-05 00:00:00,-21.2,58.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-05 03:00:00,-21.5,58.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-05 06:00:00,-21.7,57.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-05 09:00:00,-21.9,57.3,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-05 12:00:00,-21.8,57.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-05 15:00:00,-21.5,56.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-05 18:00:00,-21.0,56.7,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-05 21:00:00,-20.6,56.5,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-06 00:00:00,-20.4,56.4,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-06 03:00:00,-20.4,56.2,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-06 06:00:00,-20.6,56.1,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-06 09:00:00,-21.0,56.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-06 12:00:00,-21.6,56.0,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
1980056S15059,1980-03-06 15:00:00,-22.1,55.8,35.0,1,Median,994.0,1,Median,Perbaikan,Perbaikan
